"Source Domain","Original Action/Verb","Context","Syntelos Path","Ambiguity Level","Rationale","AI Model"
"Academic Collaboration","Co-author Invitation","Researcher invites collaboration","/share/create","Low","Co-creation of intellectual property.","Claude Sonnet 4.5"
"Admissions Portal","Submit application","Applicant seeks admission review","/share/inquire","Medium","Formal request for institutional judgment.","ChatGPT 5.1"
"Airbnb App UI","Instant Book","Reserve accommodation immediately","/align/book","Low","Clear resource reservation.","Claude Sonnet 4.5"
"AWS IoT Core","UpdateThingShadow","Reporting a thermostat's current temp","/operate/watch","Low","Passive observation of system state.","Gemini 2.0 Flash"
"AWS S3 API","PUT object w/ ACL","Upload doc and grant team access","/share/create","Medium","Content creation plus access configuration; share/create fits best.","ChatGPT 5.1"
"Board Portal","Cast proxy vote","Director votes on resolution","/govern/vote","Low","Governance action by board.","ChatGPT 5.1"
"Border Control","Deny Entry","E-Gate rejecting a passport","/govern/enforce","Low","Denying entry to a secure facility.","Gemini 2.0 Flash"
"Building Dept","Issue Code Violation","Inspector flagging unsafe wiring","/govern/audit","Low","Verify adherence to building code standards.","Gemini 2.0 Flash"
"Calm App","Start Meditation","User begins a guided breathing session","/care/support","Medium","Is it /care/support (mental welfare) or /serve/groom (fitness/self-work)?","Gemini 2.0 Flash"
"City Council","Motion to Table","Moving an agenda item to next week","/govern/chair","Low","Managing the flow of procedure.","Gemini 2.0 Flash"
"Clinical Trial","Informed Consent","Patient agreeing to experimental risks","/govern/permit","Medium","Granting access to one's body/data for science.","Gemini 2.0 Flash"
"Clinical Trial Portal","Obtain Informed Consent","Researcher gets patient agreement","/govern/permit","Medium","Could be /care/* or /govern/permit; chose permit as granting rights is the telos.","Claude Sonnet 4.5"
"Clinical Trial Portal","Randomize Participant","Assign to control/treatment group","/share/study","Low","Methodical investigation workflow.","Claude Sonnet 4.5"
"Clinical Trials Registry","Register new trial","Researchers publish trial plan","/share/inquire","Medium","Public record creation; inquiry into scientific process.","ChatGPT 5.1"
"Coinbase / On-chain","Multisig escrow creation","Funds held until conditions met","/trade/hold","Low","Escrow is conditional asset holding.","ChatGPT 5.1"
"Coinbase API","POST /orders (buy)","User buys crypto asset","/trade/swap","Low","Standard asset exchange transaction.","ChatGPT 5.1"
"Conference Management","Submit Talk Proposal","Speaker proposes session","/share/perform","Medium","Could be /share/teach or /share/perform; chose perform as broadcasting is primary telos.","Claude Sonnet 4.5"
"Conference Portal","Reserve presentation slot","Attendee books session slot","/align/book","Low","Booking for participation.","ChatGPT 5.1"
"Court API","File Amicus Brief","3rd party submitting opinion to court","/govern/advocate","Low","Persuading prior to a decision.","Gemini 2.0 Flash"
"Court e-filing","File complaint","Initiate legal action digitally","/govern/process","Low","Beginning formal legal process.","ChatGPT 5.1"
"DIDComm","Issue-Credential","Issuer grants credential","/govern/permit","Medium","Credential represents permission; governance-centric.","ChatGPT 5.1"
"DIDComm","Present-Proof","Holder presents credential proof","/govern/identify","Low","Verifies identity/claims.","ChatGPT 5.1"
"DIDComm","issue-credential","University issuing a digital diploma","/govern/identify","Low","Asserting identity/credentials.","Gemini 2.0 Flash"
"DIDComm: Introduction","out-of-band/1.1/invitation","Broker introduces two parties","/relate/seek","Medium","Could be /relate/seek or a new category; facilitating new connections through intermediary.","Claude Sonnet 4.5"
"DIDComm: Issue Credential","issue-credential/2.0","Credential issuance flow","/govern/identify","Low","Clear identity assertion protocol.","Claude Sonnet 4.5"
"DIDComm: Mediate","coordinate-mediation/1.0","Establish message routing","GAP","High","Infrastructure configuration for future interactions; not itself a purposeful interaction.","Claude Sonnet 4.5"
"DIDComm: Present Proof","present-proof/2.0","Proof presentation protocol","/govern/identify","Low","Verification workflow.","Claude Sonnet 4.5"
"DIDComm: Trust Ping","trust_ping/1.0","Test connection liveness","GAP","High","This is infrastructure maintenance, not an intent-driven interaction; no clear telos in taxonomy.","Claude Sonnet 4.5"
"DocuSign API","POST /envelopes","Requesting a signature on a contract","/govern/identify","High","Is the telos the signature (Identity/Consent) or the deal (/trade/deal)? Using /govern as it validates the actor.","Gemini 2.0 Flash"
"DocuSign API","POST /envelopes","Send document for signature","/govern/process","Medium","Could be /trade/* (contract finalization) or /govern/process (legal procedure); chose process as signing is a compulsory legal step.","Claude Sonnet 4.5"
"DocuSign API","Request signature","Parties sign binding contract","/govern/process","Medium","Signature workflow is formal legal process execution.","ChatGPT 5.1"
"DoorDash UI","Place Order","Ordering dinner for delivery","/trade/swap","Medium","A mix of /trade/swap (food) and /align/move (delivery). The dominant telos is the purchase.","Gemini 2.0 Flash"
"Duolingo App","Start tutor lesson","Begin session with tutor","/share/teach","Low","Instructional session is teaching.","ChatGPT 5.1"
"Duolingo App UI","Challenge Friend","Compete in language learning","/relate/play","Low","Shared activity for enjoyment within learning context.","Claude Sonnet 4.5"
"Duolingo UI","Start Lesson","User begins a French exercise","/share/study","Low","Generating knowledge through methodical investigation.","Gemini 2.0 Flash"
"EHR","Issue medication order","Clinician prescribes medication","/care/treat","Low","Direct care/treatment action.","ChatGPT 5.1"
"Employment ATS","Send offer letter","Employer proposes job terms","/trade/employ","Low","Exchange of labor for compensation.","ChatGPT 5.1"
"Epic MyChart","Refill Prescription","Patient requests more medication","/care/treat","Low","Clinical care context prevails over the logistics of pharmacy pickup.","Gemini 2.0 Flash"
"Epic MyChart","Request appointment","Patient requests clinician slot","/align/book","Low","Reserving timeslot for service.","ChatGPT 5.1"
"Epic MyChart","Submit treatment consent","Consent to medical procedure","/govern/permit","Low","Granting permission for care.","ChatGPT 5.1"
"Epic MyChart UI","Request Appointment","Patient books medical visit","/align/meet","Medium","Could be /care/treat (medical care) or /align/meet (scheduling); chose meet as initial telos is time synchronization, with care occurring later.","Claude Sonnet 4.5"
"Epic MyChart UI","Share Records","Patient authorizes provider access","/govern/permit","Low","Clear access rights management.","Claude Sonnet 4.5"
"Ethereum (DAO)","vote(proposal_id)","Casting a token-vote for a protocol change","/govern/vote","Low","Collective decision making.","Gemini 2.0 Flash"
"Ethereum Smart Contract","createProposal (DAO)","Member submits governance vote","/govern/vote","Low","Initiating collective decision process.","Claude Sonnet 4.5"
"Ethereum Smart Contract","mint (NFT)","Create unique token","/share/create","Medium","Could be /trade/* if commercial, but creation is primary telos.","Claude Sonnet 4.5"
"Ethereum Smart Contract","stake (DeFi)","Lock tokens for rewards","/trade/invest","Low","Committing assets for future gain.","Claude Sonnet 4.5"
"Ethereum Smart Contract","swap (DEX)","Exchange cryptocurrencies","/trade/swap","Low","Direct asset exchange.","Claude Sonnet 4.5"
"FOIA Portal","Submit records request","Citizen asks for documents","/share/inquire","Low","Request for public disclosure.","ChatGPT 5.1"
"Filecoin","StorageDeal","Renting hard drive space to store data","/trade/subscribe","Medium","Recurring access to a resource (storage).","Gemini 2.0 Flash"
"Freelance Marketplace","Submit project bid","Contractor proposes job terms","/trade/bid","Low","Competitive offer for work.","ChatGPT 5.1"
"GDPR Request","Data Erasure","User demanding deletion of data","/govern/enforce","Medium","Enforcing legal rights against a data controller.","Gemini 2.0 Flash"
"GitHub API","POST /repos/:owner/pulls (open PR)","Contributor requests code merge review","/share/ask","Low","Developer requests review of shared artifact.","ChatGPT 5.1"
"GitHub API","POST /repos/:owner/pulls/:id/reviews (approve)","Reviewer approves merge into trunk","/govern/permit","Medium","Approval controls repository governance.","ChatGPT 5.1"
"GitHub API","POST /repos/{owner}/{repo}/issues","Report bug or request","/share/assist","Low","Clear support request for resolution.","Claude Sonnet 4.5"
"GitHub API","POST /repos/{owner}/{repo}/pulls","Submit code for review","/share/create","Medium","Could be /share/create (co-creation) or /operate/assign (task delegation); chose create as primary telos is collaborative contribution.","Claude Sonnet 4.5"
"GitHub API","PUT /pulls/merge","Approving code to go to production","/share/guide","High","Is it /operate/actuate (deploying) or /share/guide (authoritative direction)? Paper suggests Commitments.","Gemini 2.0 Flash"
"GitHub UI","Merge conflict conversation","Negotiating which code to retain","/govern/settle","Medium","Joint dispute resolution over code.","ChatGPT 5.1"
"Google Calendar UI","Propose new time","Participant requests meeting change","/align/meet","Low","Negotiating meeting time belongs to align/meet.","ChatGPT 5.1"
"Google Drive UI","Request access to doc","User seeks read permission","/govern/permit","Low","Explicit permission request fits governance.","ChatGPT 5.1"
"Government e-filing","File tax return","Citizen submits annual filing","/govern/process","Low","Mandatory legal process.","ChatGPT 5.1"
"Grant Management Portal","Submit Funding Application","Researcher requests grant","/trade/give","Medium","Could be /share/ask or /trade/give; chose give as soliciting donation.","Claude Sonnet 4.5"
"Grant Portal","Submit Proposal","Lab asking for funding","/trade/bid","High","It is competing for funds (/trade/bid) but also science (/share/study).","Gemini 2.0 Flash"
"Health IoT","Fall detection alert","Device alerts caregiver","/share/notify","Low","Safety notification.","ChatGPT 5.1"
"IRB Portal","Approve Protocol","Ethics board clearing a study to run","/share/guide","Medium","Authoritative technical/ethical direction.","Gemini 2.0 Flash"
"IRB System","Submit consent template","Seek ethics approval","/govern/audit","High","Regulatory oversight and compliance process.","ChatGPT 5.1"
"IRS Portal","Pay Balance","Citizen paying tax bill","/govern/process","GAP","Is this /trade/swap? No, there is no deal. It is compulsory. /govern/process is close, but lacks the money semantic.","Gemini 2.0 Flash"
"Instagram App UI","Block User","Prevent unwanted contact","/govern/permit","Low","Revoking access/interaction rights.","Claude Sonnet 4.5"
"IoT Smart Lock","Grant temporary access code","Owner authorizes guest entry","/govern/permit","Low","Explicit access permission.","ChatGPT 5.1"
"IoT Thermostat","Manager sets building schedule","Adjust shared environment policy","/operate/setup","Medium","Configuring system-wide settings.","ChatGPT 5.1"
"Journal Editorial","Assign reviewers","Solicit expert evaluations","/govern/advocate","Medium","Advocacy/solicitation before decision.","ChatGPT 5.1"
"Journal Submission","Submit manuscript","Authors enter peer review","/share/study","Low","Contributes to scholarly knowledge process.","ChatGPT 5.1"
"Lab Equipment","Calibrate Spectrometer","Technician adjusting baseline settings","/serve/maintain","Low","Routine upkeep of equipment.","Gemini 2.0 Flash"
"Lab Equipment IoT","Grant Remote Access","PI authorizes team member","/govern/permit","Low","Access rights management.","Claude Sonnet 4.5"
